summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
xNightxCrawlerx,194,BRONZE,11,14,0.44,5.76,6.48,9.16,TOP,7.08,110.36,10973.32,2,37.16,0,616.92,116309.8,682985,32.608666666666664,13.784
AAxept,395,BRONZE,11,14,0.44,6.68,7.4,6.48,MIDDLE,51.72,128.12,12246.8,1,19.44,0,567.12,176837.68,758612,31.978,20.531333333333336
Echo2017,467,BRONZE,12,13,0.48,8.52,10.44,13.2,JUNGLE,78.44,43.92,12757.68,0,11.76,1,395.64,161500.4,863045,27.376666666666665,14.402666666666669
Planet Blunt,182,BRONZE,17,8,0.68,6.48,4.12,11.8,JUNGLE,53.4,66.84,11858.16,1,25.64,0,675.2,138664.92,505035,27.000666666666667,16.634
Leco00,73,BRONZE,11,14,0.44,3.48,7.6,3.16,TOP,10.68,105.76,8368.52,1,2.76,0,435.32,110596.08,547945,26.19066666666667,16.697333333333333
Nawlol,135,BRONZE,14,11,0.56,8.36,6.72,9.44,JUNGLE,153.16,42.68,14212.12,1,24.88,2,632.28,261340.24,1174512,34.025333333333336,14.437333333333331
LyEven,793,BRONZE,13,12,0.52,10.08,7.0,5.08,TOP,17.88,157.64,13241.72,2,19.36,0,518.24,158599.0,792193,29.752666666666663,18.27
Chatouw is gay,285,BRONZE,11,14,0.44,6.12,7.76,5.88,TOP,22.64,109.56,13484.84,2,15.52,0,374.36,132018.16,931078,27.74866666666667,15.750666666666666
with2love,387,BRONZE,11,14,0.44,4.92,5.48,6.6,TOP,3.68,160.36,10710.0,2,15.76,0,588.64,128276.12,681393,28.55,15.049333333333331
Reznogamer,204,BRONZE,11,14,0.44,5.64,6.76,7.28,JUNGLE,32.8,71.04,9975.56,1,39.96,0,517.08,95623.96,589523,27.73933333333333,18.25133333333333
NooBGaeL,433,BRONZE,10,15,0.4,4.44,6.2,10.24,ADC,6.48,137.52,11302.76,1,35.04,0,607.24,112023.96,579591,29.85333333333333,16.832666666666668
Vulk4Q,159,BRONZE,11,14,0.44,5.08,6.12,7.16,TOP,11.48,167.96,12274.48,2,20.64,0,641.72,165516.16,784660,32.15266666666667,18.746
Dadahh,105,BRONZE,17,8,0.68,8.0,7.44,23.72,NONE,0.84,38.8,12380.76,1,19.08,0,339.44,58425.0,522239,21.438666666666663,17.465333333333334
Ziraehl,209,BRONZE,8,17,0.32,5.28,6.76,5.52,TOP,3.24,116.76,14240.72,1,11.56,0,566.16,120750.56,819477,27.74,19.12333333333333
zNree,381,BRONZE,13,12,0.52,7.0,5.12,6.68,TOP,11.16,172.88,13064.92,2,20.6,0,732.76,171440.4,765204,33.154666666666664,13.694666666666668
Invlog,450,BRONZE,12,13,0.48,10.64,10.0,13.52,SUPPORT,6.56,57.0,12988.44,1,27.12,0,392.96,82930.76,716014,27.144,18.284
HackRevenge88,343,BRONZE,9,16,0.36,4.48,6.88,8.2,ADC,2.44,132.84,11055.16,1,28.64,0,547.16,111841.44,563858,31.52533333333333,18.458666666666662
Zwy1,272,BRONZE,7,18,0.28,5.44,5.64,5.0,ADC,13.88,176.0,11707.04,1,15.08,0,572.64,146068.32,471630,30.294,12.615333333333332
HerobrickHD,296,BRONZE,15,10,0.6,8.12,7.2,13.64,NONE,38.48,53.28,13329.76,1,6.16,0,476.44,108583.4,822570,25.02133333333333,16.724
Conquerorus,316,BRONZE,19,6,0.76,6.48,5.68,7.56,JUNGLE,76.48,95.88,11949.64,2,18.96,1,524.24,188630.28,656990,29.172,17.612666666666666
,173,BRONZE,6,19,0.24,6.8,6.2,4.88,ADC,12.0,161.88,11731.52,1,26.2,0,648.32,154802.4,587621,29.85533333333333,15.065333333333331
D3N15555,193,BRONZE,9,16,0.36,3.2,4.12,7.88,MIDDLE,6.16,199.4,11553.16,1,14.16,0,844.0,150481.4,401381,31.9,15.083333333333334
YourDadsNipp1es,257,BRONZE,14,11,0.56,6.52,8.04,9.24,SUPPORT,3.44,43.68,10705.68,1,56.36,0,606.16,66347.4,580034,32.66133333333333,14.334
abmksa05,262,BRONZE,13,12,0.52,7.28,6.68,5.04,JUNGLE,49.44,54.64,10186.68,1,13.8,0,459.64,109062.24,606863,26.38533333333333,17.134
Samulay14,604,BRONZE,9,16,0.36,6.64,7.68,10.0,MIDDLE,5.96,102.64,10929.64,1,32.28,0,513.72,99364.16,626082,31.468,19.808666666666667
RILES X,316,BRONZE,16,9,0.64,7.64,7.12,4.6,TOP,12.6,164.72,12341.32,3,9.16,0,483.92,156815.68,841787,28.130666666666663,15.984666666666667
cexaryeah,59,BRONZE,10,15,0.4,1.4,5.48,12.8,SUPPORT,0.32,23.64,8043.24,1,69.0,0,731.28,21589.48,472880,31.604666666666667,13.238
Brasilienwille,449,BRONZE,14,11,0.56,7.8,8.56,6.96,ADC,10.96,103.96,13026.96,1,19.92,0,391.0,116038.76,699114,28.64333333333333,15.152666666666669
dîgbick,145,BRONZE,8,17,0.32,4.84,7.2,6.52,JUNGLE,55.36,62.96,10288.48,1,22.96,1,621.08,137361.4,827845,32.066,16.698
MrCerai,440,BRONZE,13,12,0.52,4.72,7.36,24.64,NONE,0.0,38.8,11422.36,1,13.44,0,315.32,54417.08,612341,20.506666666666668,15.332
xXxMORTERxXx,299,BRONZE,15,10,0.6,9.64,7.0,5.56,JUNGLE,79.44,81.2,15320.48,1,12.24,0,544.24,204008.52,907911,31.25733333333333,13.61
Grego261004,210,BRONZE,8,17,0.32,7.8,8.12,13.6,MIDDLE,0.8,81.04,14239.2,1,16.24,0,408.88,92474.28,659202,26.66933333333333,17.429333333333332
Fifzouille,483,BRONZE,15,10,0.6,3.4,6.64,14.36,NONE,14.12,68.16,10606.56,2,22.68,0,467.36,88488.24,607473,26.698,17.196666666666665
Pyraetha,548,BRONZE,14,11,0.56,4.84,7.2,11.92,JUNGLE,58.32,65.24,11304.56,1,28.92,0,532.28,139615.76,741734,30.506666666666668,19.04533333333333
EILERTSEN,325,BRONZE,15,10,0.6,7.28,8.4,7.64,TOP,22.48,136.04,12770.0,2,20.2,0,472.76,170607.12,1035035,30.14733333333333,17.78666666666667
