summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
Croacco,63,EMERALD,14,11,0.56,7.12,4.52,8.68,ADC,5.68,175.56,12493.52,2,21.64,0,674.64,145349.36,462910,27.606,14.017333333333331
EDEL Echo,520,EMERALD,9,16,0.36,5.92,5.76,5.64,MIDDLE,7.32,185.88,11981.96,1,24.52,0,678.52,146566.52,719051,28.04733333333333,17.1
Swapxoxo,628,EMERALD,17,8,0.68,8.84,6.4,8.04,ADC,13.28,212.08,14308.6,3,16.8,0,565.4,198245.68,531638,29.95266666666667,11.925999999999998
julietteikmsforu,118,EMERALD,12,13,0.48,10.24,4.68,7.84,MIDDLE,9.24,209.56,14194.64,3,19.2,0,708.32,188425.68,467717,28.11133333333333,15.256
timotije11,90,EMERALD,15,10,0.6,9.2,6.88,6.8,ADC,23.2,220.24,15613.2,3,21.52,0,538.32,216368.16,673615,31.80133333333333,10.959333333333332
eGírl UwU,169,EMERALD,17,8,0.68,4.16,6.04,15.88,SUPPORT,12.92,52.96,10109.28,2,67.88,0,530.12,80839.48,411735,27.970666666666663,14.744
RSMJusticarKayle,118,EMERALD,13,12,0.52,2.52,4.64,11.36,SUPPORT,0.28,48.56,9133.0,1,58.76,0,586.12,51499.48,373022,29.06733333333333,16.206
BionusAlt3,257,EMERALD,16,9,0.64,8.84,8.8,10.0,ADC,3.44,106.24,12486.2,2,31.16,0,389.36,93753.84,688012,26.56066666666667,19.488
Kamil Marah,134,EMERALD,19,6,0.76,7.24,7.2,15.08,ADC,9.24,138.4,12777.52,2,11.64,0,449.68,128028.6,575281,25.376,13.960666666666668
Rognax,560,EMERALD,13,12,0.52,7.68,7.24,8.8,ADC,14.72,179.44,13087.12,2,14.4,0,562.08,169206.76,541629,29.796666666666667,14.043333333333331
smitestealer1,543,EMERALD,11,14,0.44,7.56,5.24,9.32,JUNGLE,136.04,36.36,12017.64,1,21.36,1,678.32,218019.72,888084,28.304666666666662,11.302666666666664
Jógvan,478,EMERALD,9,16,0.36,7.76,5.76,6.6,MIDDLE,0.56,156.88,11380.48,1,13.56,0,577.96,117953.6,513037,27.095333333333333,16.404
ManNus8,634,EMERALD,13,12,0.52,7.52,6.08,5.52,ADC,3.28,156.12,12472.92,1,16.08,0,420.36,119982.24,466482,25.037333333333333,17.227333333333334
Zerinth,84,EMERALD,14,11,0.56,8.28,6.36,5.32,MIDDLE,8.12,199.92,13438.04,1,16.12,0,629.6,171682.92,793374,30.029333333333334,20.60333333333333
zyfor,249,EMERALD,13,12,0.52,8.44,5.72,9.28,JUNGLE,121.68,29.72,12593.32,1,24.64,1,642.4,191299.72,762401,28.170666666666666,15.120666666666668
Culte,759,EMERALD,12,13,0.48,4.84,7.16,14.6,SUPPORT,6.32,88.68,10370.64,2,23.96,0,411.76,78681.08,517082,24.85666666666667,15.196
HRTS Dirty,793,EMERALD,17,8,0.68,6.28,6.36,5.4,MIDDLE,8.84,167.92,11233.64,2,17.16,0,489.16,134222.96,585875,26.941333333333333,15.07
FB GRAY,130,EMERALD,11,14,0.44,2.88,6.28,12.8,SUPPORT,0.68,61.96,9624.16,2,63.44,0,668.88,55365.32,493763,30.52733333333333,19.51333333333333
FIDEL CASSE TROP,1042,EMERALD,19,6,0.76,8.08,5.56,8.44,MIDDLE,1.48,198.76,13248.6,2,12.8,0,531.88,154164.76,893756,30.14466666666667,14.911333333333332
Hams Pookie Bear,1094,EMERALD,15,10,0.6,9.08,5.92,9.04,MIDDLE,5.84,201.88,13884.8,2,9.84,0,606.92,167032.48,864460,28.902,15.868
AterialDown,171,EMERALD,14,11,0.56,8.68,6.64,7.16,MIDDLE,28.08,164.72,13018.12,2,17.64,0,478.52,174086.76,650971,27.48333333333333,14.855333333333334
Wiouks ,1011,EMERALD,10,15,0.4,5.52,4.2,8.44,JUNGLE,123.76,30.08,11008.48,1,29.56,2,765.76,196944.76,809931,29.058,10.673333333333334
BadBaneDog,119,EMERALD,15,10,0.6,8.48,4.32,6.4,ADC,11.92,196.52,12917.44,2,11.56,0,669.4,154057.2,452670,28.086666666666662,16.016000000000002
MiyTaiTie,59,EMERALD,12,13,0.48,8.0,4.52,6.48,JUNGLE,100.72,35.04,10401.2,0,11.2,0,539.2,153889.76,584331,24.06066666666667,9.574000000000002
Ayudaestoyciego,490,EMERALD,13,12,0.52,3.84,4.68,9.88,SUPPORT,1.84,75.44,9282.44,1,47.44,0,533.36,65607.84,382133,26.77,13.514666666666669
BadJglMeInt,717,EMERALD,10,15,0.4,4.0,4.48,5.52,TOP,25.76,155.16,10726.52,1,18.88,0,652.2,156379.32,726475,26.39466666666667,11.590666666666667
Now I Sin,82,EMERALD,16,9,0.64,10.92,6.92,11.72,JUNGLE,103.84,31.8,13361.56,1,13.68,1,490.44,178182.08,879109,25.676666666666662,13.943333333333332
Son Tung MTP,54,EMERALD,13,12,0.52,10.08,5.88,6.0,ADC,5.76,218.44,14185.0,2,15.24,0,458.32,178293.32,578885,27.39333333333333,19.261333333333333
Rouladen,112,EMERALD,16,9,0.64,2.44,5.04,14.8,SUPPORT,0.16,26.24,8830.84,2,64.92,0,608.92,31053.52,537431,28.69333333333333,11.010666666666667
VADlM TUDOR,670,EMERALD,9,16,0.36,7.88,5.84,6.96,ADC,10.48,198.64,13081.92,2,16.8,0,670.76,165652.0,616265,27.504666666666665,14.082
Lapsisotilas,398,EMERALD,12,13,0.48,4.0,6.16,13.28,SUPPORT,6.96,64.76,9610.8,1,46.56,0,490.28,67384.72,532466,26.316666666666663,10.938
ALWAYS TROUBLE99,118,EMERALD,13,12,0.52,6.84,5.28,8.52,JUNGLE,31.92,110.2,11035.48,1,33.2,0,575.36,128160.24,600311,25.747333333333334,15.380666666666666
D1 NYGUS,202,EMERALD,13,12,0.52,5.92,5.6,6.12,ADC,5.6,229.72,13115.56,2,20.48,0,580.08,184547.44,474219,29.008666666666667,15.656
Luddeuuh,372,EMERALD,12,13,0.48,3.08,7.68,16.76,SUPPORT,0.36,33.16,9301.88,1,63.36,0,467.24,38094.28,627659,27.68933333333333,17.946
The Sionist,227,EMERALD,12,13,0.48,7.04,5.4,9.72,TOP,17.12,169.0,12571.4,2,13.16,0,752.24,152402.72,872440,30.722,16.863333333333333
Kayn ta mere,648,EMERALD,15,10,0.6,9.12,5.88,6.12,TOP,18.96,175.56,13175.28,3,15.04,0,618.16,168390.6,786268,28.148666666666667,15.135333333333334
Chocakim,951,EMERALD,11,14,0.44,10.96,8.32,16.84,NONE,0.16,102.88,12678.44,1,8.48,0,327.48,95574.56,515397,22.400666666666663,9.669333333333332
Donormyl15mg,595,EMERALD,13,12,0.52,6.6,5.6,7.4,TOP,2.16,126.68,12348.8,1,12.52,0,432.56,114594.8,833632,24.365333333333336,19.078666666666667
BoxBox From Wish,91,EMERALD,15,10,0.6,8.56,7.32,4.08,TOP,13.52,214.64,14727.68,4,15.92,0,480.28,194018.6,718838,29.012,15.315333333333331
RightCl3ckOP,230,EMERALD,16,9,0.64,6.8,6.04,10.56,JUNGLE,94.12,78.6,12404.04,1,22.28,1,513.88,194716.4,798699,30.158666666666665,17.854666666666667
Lollimary,1248,EMERALD,15,10,0.6,11.2,6.32,7.6,MIDDLE,12.0,170.68,13971.08,2,22.6,0,581.44,164833.84,581557,29.59133333333333,14.744
ZaicheDeRelleno,96,EMERALD,18,7,0.72,8.56,6.96,5.72,TOP,1.64,198.64,13591.32,3,16.8,0,588.28,169053.92,969598,28.55666666666667,17.764666666666667
ÀNIRATAK,51,EMERALD,18,7,0.72,6.88,5.76,7.04,MIDDLE,10.36,207.96,13393.52,2,18.96,0,658.84,200887.92,795243,29.854,14.877999999999998
Hi its Hyper,442,EMERALD,10,15,0.4,7.76,7.48,6.2,ADC,6.32,186.32,13366.88,2,9.24,0,513.92,153322.44,553172,29.10333333333333,17.75133333333333
BLACKSUPERCAR007,165,EMERALD,17,8,0.68,9.48,6.08,5.12,NONE,19.2,103.24,14415.96,1,9.28,0,382.88,128518.48,666885,23.711333333333336,11.78
WKT Luke,95,EMERALD,16,9,0.64,9.8,6.64,8.44,ADC,19.96,205.28,14155.56,3,23.56,0,540.76,182615.56,588944,29.204,14.648
lvl3 gank victim,521,EMERALD,19,6,0.76,10.44,6.0,14.12,NONE,5.76,112.72,12805.16,2,9.0,0,331.52,113876.6,482465,21.332666666666668,16.210666666666665
AbdouLeMachiavel,452,EMERALD,13,12,0.52,6.96,5.76,6.88,NONE,13.96,74.24,13093.24,1,5.24,0,316.92,99155.56,759780,20.514666666666667,13.732
Shogun Ka Yooooo,397,EMERALD,16,9,0.64,8.56,5.88,8.32,MIDDLE,23.72,155.16,12426.4,2,20.8,0,513.84,149715.96,587807,27.572,18.07333333333333
Ornns Dirty Ass,415,EMERALD,12,13,0.48,6.32,7.28,7.84,TOP,1.84,187.16,12449.2,2,12.2,0,510.88,153563.32,1148083,29.75133333333333,17.718
Kuitsa,309,EMERALD,13,12,0.52,7.76,9.48,18.2,NONE,0.92,49.12,14300.92,1,15.88,0,240.68,63426.92,790069,21.90333333333333,18.564
Guess Whos Bard,388,EMERALD,16,9,0.64,3.32,5.28,19.6,SUPPORT,14.68,38.32,10083.68,2,70.12,0,658.36,61527.56,518519,29.29133333333333,16.452
The Dream Is Up,261,EMERALD,14,11,0.56,9.44,8.32,6.32,TOP,26.48,179.08,14055.72,2,17.0,0,413.92,199409.12,837753,28.342,14.372000000000002
Happy t1 fan ,596,EMERALD,9,16,0.36,3.0,7.88,15.16,SUPPORT,1.16,27.84,9454.8,1,79.84,0,475.44,41000.0,586348,30.052,16.650666666666666
dewhykay,135,EMERALD,12,13,0.48,9.68,8.12,5.44,MIDDLE,34.96,181.88,13889.4,2,17.44,0,469.12,197319.0,964489,28.706,10.996
Kingû,637,EMERALD,16,9,0.64,9.8,5.44,6.08,NONE,46.64,42.4,15918.04,0,16.12,0,328.8,132976.6,765554,23.17866666666667,16.956666666666667
INT KashiriRaki,389,EMERALD,11,14,0.44,8.32,6.32,5.84,ADC,6.96,194.0,13325.4,2,14.08,0,596.64,165619.08,660550,29.878,16.330666666666666
iBreakly,43,EMERALD,13,12,0.52,7.56,8.16,7.68,TOP,56.0,137.96,12759.0,2,24.52,0,449.44,189811.8,859072,28.401333333333334,16.192666666666664
YoU ArE M1Ne,73,EMERALD,11,14,0.44,8.76,6.84,5.6,ADC,11.44,194.92,13012.88,1,23.88,0,543.56,156011.88,553437,28.344,16.016666666666666
German Viper,926,EMERALD,14,11,0.56,9.2,6.96,9.0,MIDDLE,6.04,156.24,13141.88,2,22.84,0,537.24,139760.6,686010,28.122666666666664,9.088
The Crazy Húnter,286,EMERALD,13,12,0.52,6.84,5.84,6.88,NONE,0.36,57.28,14096.24,0,5.68,0,251.76,76233.24,550666,21.01533333333333,20.927333333333333
John Fudge,549,EMERALD,14,11,0.56,9.28,6.68,7.92,JUNGLE,33.52,145.64,12967.32,2,15.64,0,564.2,169012.56,785228,26.788666666666664,8.834
kusgi merchant,566,EMERALD,13,12,0.52,7.68,5.28,6.48,JUNGLE,81.8,38.32,12787.12,1,17.72,1,425.32,158187.12,674921,24.94333333333333,13.538
Mìmí,764,EMERALD,11,14,0.44,4.12,5.28,18.8,SUPPORT,0.36,32.76,9868.16,2,43.08,0,532.76,36222.44,418294,25.979333333333333,16.053333333333335
LM3ASEB,986,EMERALD,11,14,0.44,6.4,6.12,4.88,NONE,3.84,86.08,12946.0,0,4.8,0,327.2,102134.84,746353,20.77,13.44
PracticeAcc0,119,EMERALD,10,15,0.4,4.88,7.56,7.36,ADC,5.04,135.16,10113.48,1,22.36,0,498.64,105676.28,488500,26.20733333333333,8.236
Jazinto,1154,EMERALD,12,13,0.48,6.04,5.92,5.0,NONE,10.84,94.48,15296.04,1,8.24,0,342.92,127443.96,737296,23.054666666666662,13.284666666666668
Settpaii,850,EMERALD,14,11,0.56,6.28,6.76,6.08,TOP,14.16,104.72,13831.08,1,10.0,0,343.24,127383.92,942710,25.516666666666666,16.398
CordeWow,412,EMERALD,10,15,0.4,4.72,7.68,7.88,TOP,10.48,169.48,12020.72,1,21.6,0,531.24,156066.08,632681,29.01066666666667,15.049333333333331
piaftot,72,EMERALD,11,14,0.44,7.4,8.72,10.88,JUNGLE,70.0,109.92,13046.4,1,18.0,0,375.68,193675.8,782639,27.997333333333334,15.372000000000002
AsrielDremure,732,EMERALD,15,10,0.6,8.16,7.56,10.24,JUNGLE,57.16,106.44,13014.2,2,13.4,0,493.08,174916.52,768541,28.09333333333333,14.831333333333331
Alc0r,328,EMERALD,15,10,0.6,4.2,4.92,10.88,MIDDLE,6.68,117.16,10854.52,1,54.24,0,625.68,114443.0,611247,29.58933333333333,16.37066666666667
3mk yasuo,341,EMERALD,16,9,0.64,14.32,10.92,21.32,MIDDLE,0.64,101.64,16566.68,1,3.8,0,324.36,129161.0,886926,25.249333333333333,15.424
MeowMeow Strike,597,EMERALD,13,12,0.52,8.84,7.76,12.24,JUNGLE,75.76,86.4,14552.68,1,18.4,0,433.08,198054.68,760978,27.61466666666667,16.246666666666666
Matjack,632,EMERALD,14,11,0.56,6.64,5.0,9.52,JUNGLE,164.88,36.0,12945.8,2,28.2,1,690.08,265813.48,830253,30.70733333333333,14.916666666666666
Narcotic15,466,EMERALD,14,11,0.56,8.72,5.0,7.2,MIDDLE,24.84,161.72,12837.24,1,27.16,0,696.6,163066.6,599480,29.716,12.5
respekterakvinna,129,EMERALD,15,10,0.6,8.8,6.16,5.08,TOP,4.68,248.92,15051.92,3,20.08,0,617.28,204680.16,648304,30.75333333333333,15.799333333333331
DIGHIDINGO,742,EMERALD,14,11,0.56,7.52,6.28,7.24,MIDDLE,16.04,181.16,12507.76,1,13.64,0,611.04,153624.64,663157,28.646666666666665,15.829333333333333
Golden Scuttle,276,EMERALD,14,11,0.56,13.12,5.16,6.48,JUNGLE,142.28,71.68,15656.36,1,12.96,1,662.88,279871.2,852575,30.004,17.44
Batman de fufu,478,EMERALD,12,13,0.48,6.32,7.84,5.24,MIDDLE,34.4,144.68,12053.08,1,22.36,0,567.2,161907.52,678533,29.60666666666667,10.852666666666666
Hide on heart,420,EMERALD,12,13,0.48,6.0,5.56,6.56,TOP,3.36,158.92,13339.04,1,13.08,0,429.44,144258.2,673627,26.57,19.92
top3wpl,90,EMERALD,14,11,0.56,6.72,5.2,7.84,JUNGLE,187.44,42.0,13502.48,1,25.4,1,602.92,300283.92,716113,30.049333333333333,11.446
Zhaak,613,EMERALD,14,11,0.56,10.12,7.64,8.04,MIDDLE,29.72,174.56,14440.64,2,17.96,0,617.32,196049.36,928804,31.793333333333333,14.836666666666668
Yorweak,918,EMERALD,8,17,0.32,6.2,7.04,6.0,TOP,4.48,204.2,13136.08,2,18.52,0,546.2,169989.0,762537,31.336,16.124666666666666
RIC023,631,EMERALD,14,11,0.56,8.12,5.64,8.88,TOP,16.96,195.56,14367.68,2,22.84,0,655.6,189699.92,734093,29.46,19.490666666666662
HvDemon,1256,EMERALD,9,16,0.36,5.32,5.96,7.72,JUNGLE,23.24,139.68,13727.64,1,24.32,0,575.6,150594.4,730086,28.514666666666667,17.314666666666668
4Jihyo,51,EMERALD,13,12,0.52,4.0,7.32,14.84,SUPPORT,1.04,25.32,9455.52,2,77.28,0,530.72,25403.92,508055,30.054,15.997333333333334
Only Kayn Rhaast,102,EMERALD,11,14,0.44,4.4,5.64,13.16,SUPPORT,3.36,98.16,10962.96,2,57.6,0,763.92,83189.12,494706,29.888666666666666,13.416666666666666
Jackie Akshan,558,EMERALD,8,17,0.32,6.56,8.04,6.2,JUNGLE,111.92,60.24,11653.4,1,18.48,0,495.8,210151.96,751763,27.89733333333333,16.482
PandaBambù,494,EMERALD,14,11,0.56,10.08,5.92,10.56,TOP,3.36,111.92,15086.2,1,11.72,0,380.28,117258.0,799327,24.464,15.75
Just4Play,395,EMERALD,17,8,0.68,9.44,6.36,6.96,MIDDLE,47.76,153.28,13478.28,2,20.4,0,528.52,195723.6,700102,28.984,17.049333333333333
XinXeo,125,EMERALD,14,11,0.56,6.0,5.8,11.24,JUNGLE,93.4,60.08,11731.4,1,34.72,0,676.56,183587.04,648027,27.770666666666667,15.062
VIT Parritas,493,EMERALD,14,11,0.56,7.84,4.64,7.88,JUNGLE,146.92,42.04,13156.08,1,22.92,1,651.68,242415.84,925194,30.294,15.411333333333332
Frederekko,462,EMERALD,13,12,0.52,8.88,6.24,6.44,MIDDLE,23.84,157.24,14158.04,1,16.92,0,613.44,182131.0,740796,29.838666666666665,15.300666666666666
BLEENK,650,EMERALD,13,12,0.52,8.92,4.28,4.64,MIDDLE,2.16,178.52,11786.24,1,17.2,0,719.88,122124.16,479186,26.47,16.122
Kondraty Bulavin,271,EMERALD,11,14,0.44,12.0,11.28,22.84,NONE,0.48,81.48,14579.2,1,2.84,0,249.96,95098.8,697646,21.25333333333333,18.57
ABADAS0,128,EMERALD,14,11,0.56,6.44,5.52,8.52,TOP,1.76,180.04,12123.48,2,27.92,0,678.16,134487.88,797431,29.55666666666667,17.423333333333336
Voleur De Goûter,440,EMERALD,10,15,0.4,3.2,7.32,13.72,SUPPORT,10.88,47.4,9565.0,2,60.96,0,513.32,67091.4,969381,29.074,16.507333333333335
Momiethep,568,EMERALD,9,16,0.36,4.92,6.76,3.76,TOP,2.64,164.24,13333.24,2,12.08,0,473.2,133105.52,817703,25.198666666666668,14.566666666666666
gatita,610,EMERALD,14,11,0.56,2.96,6.72,21.8,SUPPORT,0.4,52.72,11113.56,2,41.0,0,445.72,51158.12,501910,28.982000000000003,12.994
Kartoflen,442,EMERALD,15,10,0.6,9.72,7.6,10.0,TOP,4.68,179.28,13991.48,2,11.16,0,487.0,156762.36,915126,27.49333333333333,14.032666666666668
Walix3,555,EMERALD,16,9,0.64,1.72,5.12,18.6,SUPPORT,0.16,21.84,9097.92,3,72.92,0,654.56,28564.44,446190,29.531333333333336,14.147333333333334
rommy087,490,EMERALD,15,10,0.6,8.12,5.68,7.08,ADC,9.12,209.08,13691.96,3,19.52,0,602.8,174408.84,511971,29.45133333333333,15.648
Appollyon,548,EMERALD,14,11,0.56,7.12,4.72,7.88,MIDDLE,9.52,191.0,12370.76,2,13.68,0,592.24,156201.84,494812,27.62,14.788
ZxcPeedorkeen,372,EMERALD,14,11,0.56,6.0,7.4,8.56,JUNGLE,98.84,80.2,11799.6,1,24.96,1,481.24,204367.8,819332,28.41466666666667,15.017333333333331
Jerome Brian,299,EMERALD,13,12,0.52,4.88,6.72,9.72,NONE,8.88,51.76,14614.48,1,30.0,0,290.76,90368.0,613952,22.702,16.575333333333333
OsamaBeenLaughin,322,EMERALD,12,13,0.48,5.2,7.88,4.24,MIDDLE,16.84,186.44,12454.88,2,22.44,0,543.92,166313.96,648675,29.32133333333333,16.477333333333334
L1nken,215,EMERALD,16,9,0.64,5.8,4.96,13.32,SUPPORT,9.24,89.12,11267.56,3,37.56,0,626.84,86745.8,619247,28.36733333333333,12.978666666666667
Bot Teeemo,516,EMERALD,11,14,0.44,6.44,7.36,7.28,JUNGLE,48.96,112.28,12235.0,1,28.6,0,589.8,166926.8,662283,30.852,14.364666666666666
Fabushka,353,EMERALD,12,13,0.48,4.0,7.44,15.52,SUPPORT,6.16,28.76,9562.16,1,74.8,0,486.16,50717.28,550613,28.473333333333336,12.900666666666666
PsychoFeather,341,EMERALD,13,12,0.52,8.2,6.8,6.96,ADC,56.36,150.08,13463.76,2,15.28,0,544.08,195280.68,681367,29.006666666666668,18.152
Eñvý,740,EMERALD,16,9,0.64,8.68,6.28,9.36,MIDDLE,16.12,151.04,13455.4,2,30.68,0,562.4,150486.24,610570,31.494000000000003,8.346666666666668
SuraIy,378,EMERALD,13,12,0.52,3.36,6.2,12.28,SUPPORT,7.24,40.96,9457.04,1,57.96,0,581.12,55054.08,533698,30.404666666666667,15.372000000000002
Dswopey,462,EMERALD,12,13,0.48,6.12,7.16,15.48,SUPPORT,1.64,91.68,11480.32,1,36.4,0,467.6,81413.88,567442,28.67,17.36
NitroKaisser,353,EMERALD,12,13,0.48,9.4,7.0,7.28,JUNGLE,169.56,33.88,14455.88,1,26.28,1,623.6,275528.44,1002733,32.708,19.709333333333333
DR GAYSTER,74,EMERALD,11,14,0.44,6.4,5.24,6.04,ADC,6.96,194.76,11507.88,1,11.76,0,589.36,153654.2,472781,25.022,15.242
FishIady,708,EMERALD,15,10,0.6,6.0,7.6,31.68,NONE,0.0,25.56,12622.84,2,0.0,0,271.16,41495.84,596643,18.856,14.538666666666668
zakron,860,EMERALD,10,15,0.4,7.2,8.8,6.56,JUNGLE,59.44,105.0,12547.64,2,36.84,0,471.68,172882.92,826766,30.396,15.364666666666666
FungiMan,905,EMERALD,15,10,0.6,8.2,8.16,11.28,JUNGLE,100.6,47.52,13337.92,1,21.44,1,447.88,190038.88,869163,26.10333333333333,18.290666666666667
EXC Cracky,714,EMERALD,14,11,0.56,6.88,5.48,6.64,ADC,6.52,218.64,13296.2,2,20.84,0,616.56,172574.68,476412,31.130666666666663,20.116
Brun og Blíd,973,EMERALD,15,10,0.6,7.2,7.16,5.72,ADC,32.68,154.12,12503.72,1,14.36,0,517.84,160414.84,594226,29.697333333333333,16.314
shpykooh,553,EMERALD,13,12,0.52,8.36,6.72,7.52,ADC,44.68,124.28,14755.04,1,16.08,0,421.56,175728.96,749285,27.97133333333333,18.692666666666664
MVP Sugar,627,EMERALD,12,13,0.48,6.8,7.92,9.28,ADC,15.64,165.8,12388.52,2,28.72,0,503.48,149360.52,636309,29.0,15.528
chronoshifted,96,EMERALD,13,12,0.52,4.84,5.92,17.72,SUPPORT,7.28,60.76,10910.08,2,65.88,0,714.64,76094.76,523159,29.374666666666663,18.592666666666663
Lizzo,542,EMERALD,14,11,0.56,6.16,6.72,8.48,TOP,27.36,167.84,12803.2,2,20.88,0,587.12,172722.04,843518,30.084666666666667,16.314
ImaginationRift,783,EMERALD,17,8,0.68,10.72,4.92,7.08,ADC,9.44,201.72,14565.04,3,23.68,0,615.08,183119.6,595214,29.322666666666667,9.526
basnor,276,EMERALD,16,9,0.64,8.4,5.0,5.16,ADC,6.44,208.44,13608.04,3,22.84,0,696.0,158740.84,580575,31.06733333333333,16.502
rezy3h,173,EMERALD,14,11,0.56,6.76,6.56,9.16,MIDDLE,2.96,176.36,12083.68,2,17.0,0,487.32,138752.96,636518,25.600666666666665,15.324666666666667
SOLO SINGED,446,EMERALD,14,11,0.56,4.92,7.56,10.36,JUNGLE,28.64,109.12,10902.48,1,21.28,0,478.2,126799.32,732502,29.543333333333333,11.028666666666668
SmurfSeinVaater,230,EMERALD,12,13,0.48,5.08,6.0,6.52,MIDDLE,6.44,194.04,12053.8,2,21.28,0,626.68,149677.6,698048,29.601333333333333,16.38
Yolo Jïzuschríst,299,EMERALD,15,10,0.6,8.16,5.28,9.6,ADC,9.6,184.2,13389.52,2,19.64,0,744.88,154039.64,604866,30.34466666666667,20.02133333333333
Snus Äbuse,512,EMERALD,13,12,0.52,6.52,7.08,8.08,MIDDLE,12.92,157.48,11567.76,2,23.92,0,518.2,136234.08,542166,28.704666666666665,14.637333333333334
SickLikeMe v3,1333,EMERALD,6,19,0.24,8.12,7.32,9.52,JUNGLE,105.04,27.8,11445.4,0,13.92,0,530.8,183983.44,870506,25.89333333333333,4.570666666666667
Leongold8583,1009,EMERALD,11,14,0.44,10.36,9.8,12.2,MIDDLE,10.68,121.72,14194.92,1,15.52,0,300.16,139849.72,824661,26.375333333333334,17.62066666666667
MiniLulu26,585,EMERALD,11,14,0.44,7.48,6.32,9.32,JUNGLE,117.36,47.24,12272.6,1,35.32,1,527.08,195371.16,738567,30.372666666666664,16.199333333333335
Jeyde,553,EMERALD,12,13,0.48,6.84,7.52,11.96,JUNGLE,68.04,22.32,12726.64,1,11.96,0,345.88,122894.4,935955,23.030666666666665,19.166666666666668
Dinge tun,971,EMERALD,10,15,0.4,6.16,7.24,9.76,JUNGLE,83.4,100.32,12789.4,1,16.84,0,564.52,201334.32,886244,29.4,15.534
STI AlexGood,446,EMERALD,14,11,0.56,5.32,6.56,10.12,TOP,17.2,122.8,11275.2,2,19.64,0,523.08,130323.6,781017,27.738666666666667,17.086666666666666
LutherChangeMaVi,391,EMERALD,16,9,0.64,5.12,4.72,7.04,MIDDLE,0.8,151.92,11014.96,1,33.72,0,543.72,113205.56,391689,27.638666666666666,14.673333333333334
VKJ ,70,EMERALD,13,12,0.52,8.44,4.32,4.64,ADC,6.96,209.0,13444.04,3,11.24,0,742.36,156040.12,430678,28.776,14.717333333333332
WhyNoz,678,EMERALD,16,9,0.64,8.68,6.44,7.92,ADC,13.2,204.36,14316.84,2,25.2,0,600.12,190944.0,541395,29.944666666666667,15.312
GambaNera,396,EMERALD,12,13,0.48,2.48,4.96,12.88,SUPPORT,0.32,16.6,10913.96,1,53.24,0,633.04,35010.4,596678,25.762666666666668,14.993333333333334
UniversePrincess,193,EMERALD,15,10,0.6,6.88,8.04,15.72,MIDDLE,16.4,85.0,11351.36,2,18.96,0,366.36,98284.08,593267,24.486666666666668,19.284666666666663
MC montbeliard ,448,EMERALD,16,9,0.64,10.84,6.28,7.2,JUNGLE,109.72,50.88,12426.92,0,14.24,1,502.68,201025.08,758316,25.550666666666665,14.597333333333331
Scentic LoL,92,EMERALD,18,7,0.72,8.92,6.08,8.36,NONE,48.04,15.96,17367.04,0,7.28,0,284.32,128014.36,847198,21.438666666666663,18.336
Wra1th,240,EMERALD,11,14,0.44,6.64,6.04,7.56,MIDDLE,16.92,170.72,11854.24,1,16.96,0,553.44,153474.68,642912,28.85333333333333,18.28933333333333
Unskilled Sloth,86,EMERALD,12,13,0.48,6.2,5.04,4.08,TOP,15.12,198.64,11969.88,1,17.96,0,699.52,163779.24,514216,26.923333333333336,17.170666666666666
JinAzzazel,912,EMERALD,16,9,0.64,5.8,6.52,10.76,SUPPORT,28.68,87.92,10668.48,2,21.24,0,538.0,113707.68,704938,27.908666666666665,16.046
GGWP IDontCare,154,EMERALD,15,10,0.6,12.76,7.0,11.6,JUNGLE,135.52,71.44,17149.16,1,31.12,1,601.52,274394.72,879945,31.134,17.854666666666667
UdoVonNebenan,730,EMERALD,11,14,0.44,7.6,7.36,6.2,TOP,9.68,195.88,13617.4,2,15.76,0,593.92,184834.76,817894,32.07933333333333,13.635333333333334
TurBOstOmPeR69,523,EMERALD,12,13,0.48,12.84,5.44,6.08,MIDDLE,1.96,195.52,14492.32,1,25.76,0,653.08,166061.8,576685,30.91,14.729333333333331
Reckeeeer,551,EMERALD,13,12,0.52,8.6,7.52,14.64,SUPPORT,15.36,101.72,13714.44,1,25.0,0,497.76,129549.48,759130,30.05133333333333,16.872666666666667
INS Sleepwalker,706,EMERALD,16,9,0.64,7.84,5.8,7.32,NONE,6.84,41.52,17637.84,0,8.44,0,260.12,91525.88,625581,20.276666666666664,15.22
HookDay12,191,EMERALD,12,13,0.48,7.68,6.12,12.44,JUNGLE,102.84,61.76,13073.24,1,41.32,1,530.68,206997.6,849992,28.49866666666667,13.268
Icarus XIII,248,EMERALD,13,12,0.52,6.84,6.4,4.24,TOP,45.12,120.72,11188.72,2,14.0,0,522.16,147686.92,684361,26.35933333333333,17.686
kiraTz,660,EMERALD,8,17,0.32,5.52,5.36,5.52,JUNGLE,72.08,69.52,12365.36,1,16.04,0,497.36,156691.24,771347,25.60333333333333,14.783333333333331
zinoleos,480,EMERALD,14,11,0.56,10.88,9.32,6.8,JUNGLE,76.08,59.16,16020.36,1,10.24,0,308.36,188856.4,927135,25.229333333333333,15.722
